slug	title	at	batch	reason
kinki-inouryoku-no-kijutsushi	禁忌異能力の記述士	2026-08-06	nomat	楽天にcaptionなし(harvest済)
kanbayashi-buchou-to-koibito-keiyaku	神林部長と恋人契約	2026-08-06	nomat	楽天にcaptionなし(harvest済)
maou-na-kachou-no-teshita-ni-narimashita	魔王な課長の手下になりました。	2026-08-06	nomat	楽天にcaptionなし(harvest済)
mugyu-hagu-dakede-iki-sou	むぎゅ…ハグだけでイキそう!?	2026-08-06	nomat	楽天にcaptionなし(harvest済)
takumashii-ude-ni-ubawareru	逞しい腕に奪われる	2026-08-06	nomat	楽天にcaptionなし(harvest済)
tomodachi-dakedo-sekkusu-suru	友達だけどセックスする?	2026-08-06	nomat	楽天にcaptionなし(harvest済)
gomen-oji-san-dakedo-shite-ii	ごめん、おじさんだけどシていい?	2026-08-06	nomat	楽天にcaptionなし(harvest済)
nukisashi-naranai-futari	抜き差しならない二人	2026-08-06	nomat	楽天にcaptionなし(harvest済)
slow-life-ga-shitai-daikenja-musume-o-hirou	スローライフがしたい大賢者、娘を拾う。	2026-08-06	nomat	楽天にcaptionなし(harvest済)
25-sai-big-baby	25才ビッグベイビー	2026-08-06	nomat	楽天にcaptionなし(harvest済)
kotonoha-no-hoshi	言ノ葉ノ星	2026-08-06	nomat	楽天にcaptionなし(harvest済)
kono-uchi-tomare	このうちとまれ	2026-08-06	nomat	楽天にcaptionなし(harvest済)
dekiai-seifuku	溺愛征服	2026-08-06	nomat	楽天にcaptionなし(harvest済)
nikushoku-kumikyoku	肉食組曲	2026-08-06	nomat	楽天にcaptionなし(harvest済)
dokusenteki-ruukusu-darling	独占的ルークスダーリン	2026-08-06	nomat	楽天にcaptionなし(harvest済)
tsumetai-joushi-to-uso-no-koi	冷たい上司と嘘の恋	2026-08-06	nomat	楽天にcaptionなし(harvest済)
junai-yakuza-to-dousei-seikatsu	純愛ヤクザと同棲生活	2026-08-06	nomat	楽天にcaptionなし(harvest済)
konyaku-haki-sareta-node-isekai-de-onsenyado-hajimemasu	婚約破棄されたので、異世界で温泉宿始めます	2026-08-06	nomat	楽天にcaptionなし(harvest済)
dame-an-mou-saikai-0byou-yakuza-no-xx-0-sarechaimashita	ダメ!あん!もう!再会0秒、ヤクザの××にされちゃいました	2026-08-06	nomat	楽天にcaptionなし(harvest済)
azalea	Azalea	2026-08-06	nomat	楽天にcaptionなし(harvest済)
hard-nuts	ハードナッツ	2026-08-06	nomat	楽天にcaptionなし(harvest済)
megami-no-mousou	女神の妄想	2026-08-06	nomat	楽天にcaptionなし(harvest済)
tengai-no-charon	天涯のカロン	2026-08-06	nomat	楽天にcaptionなし(harvest済)
chou-yo-hana-yo-to-sono-kuchibiru-de	蝶よ花よとそのくちびるで	2026-08-06	nomat	楽天にcaptionなし(harvest済)
naisho-no-rabu-mariaaju	ナイショの♥ラブまりあーじゅ	2026-08-06	nomat	楽天にcaptionなし(harvest済)
aijin-keiyaku-nochi-dekiai	愛人契約のち溺愛!?	2026-08-06	nomat	楽天にcaptionなし(harvest済)
ittewa-ikenai-office-de-zecchou-kanri-24ji	イッてはいけない!オフィスで絶頂管理24時	2026-08-06	nomat	楽天にcaptionなし(harvest済)
shirou-san-niwa-taberarenai	志狼さんには食べられない!	2026-08-06	nomat	楽天にcaptionなし(harvest済)
futari-no-konyakusha-ni-dekiai-sarete	二人の婚約者に溺愛されて	2026-08-06	nomat	楽天にcaptionなし(harvest済)
gatenkei-shachou-wa-zetsurin-deshita	ガテン系社長は絶倫でした。	2026-08-06	9214	captionが書名/レーベル名だけで内容記述なし
ijiwaru-na-tsugai	いじわるな番	2026-08-06	9214	captionが書名/レーベル名だけで内容記述なし
inshuu-densetsu	殷周伝説	2026-08-06	9214	captionが書名/レーベル名だけで内容記述なし
itsuka-yasashii-ame-ni-naru	いつか優しい雨になる	2026-08-06	9214	captionが書名/レーベル名だけで内容記述なし
kuzu	クズ!!	2026-08-06	9214	captionが書名/レーベル名だけで内容記述なし
love-fukanshou	恋愛不感症	2026-08-06	9214	captionが書名/レーベル名だけで内容記述なし
mahoutsukai-no-yomeshihen-108-majutsushi-no-ao	魔法使いの嫁詩編. 108魔術師の青	2026-08-06	9214	captionが書名/レーベル名だけで内容記述なし
ore-no-jouwan-nitoukin-etchi-na-me-de-miteta-desho	俺の上腕二頭筋、エッチな目で見てたでしょ?	2026-08-06	9214	captionが書名/レーベル名だけで内容記述なし
otona-o-komaraserunja-arimasen	オトナを困らせるんじゃありません!	2026-08-06	9214	captionが書名/レーベル名だけで内容記述なし
samurai-buiesu-zombie	侍VSゾンビ	2026-08-06	9214	captionが書名/レーベル名だけで内容記述なし
shin-obotchama-kun	新・おぼっちゃまくん	2026-08-06	9214	captionが書名/レーベル名だけで内容記述なし
shinjuukyou-online	神獣郷オンライン!	2026-08-06	9214	captionが書名/レーベル名だけで内容記述なし
yoshinoya-kyoudai	吉野家兄弟	2026-08-06	9214	captionが書名/レーベル名だけで内容記述なし
invincible-iron-man-ironheart	インビンシブル・アイアンマン:アイアンハート	2026-08-27	9301	【drop済2026-09-01】米国コミック邦訳=掲載境界(要ユーザ裁定)
ryojou-mystery-special	旅情ミステリースペシャル	2026-09-01	9414	【drop済2026-09-01】掲載境界: 浅見光彦+十津川警部のコミカライズ読切集(【廉価版】表記・著者=アンソロジー)。コミック浅見光彦(drop済)と同型=drop候補・ユーザ裁定待ち
nakeru-golgo-13	泣ける!ゴルゴ13	2026-09-01	9414	【drop済2026-09-01】掲載境界: Golgo 13 specialレーベルのテーマ別セレクション=既刊再編集の抜粋本。drop候補・ユーザ裁定待ち
ima-demo-wasurerarenai-ano-taikendan-hanashimasu	今でも忘れられないアノ体験談、話します	2026-09-01	9414	掲載境界: 書店表記が【廉価版】。八月薫作品の再編集セレクションの疑い=要確認
dokusha-toukou-shinrei-taiken	読者投稿心霊体験	2026-09-01	9417	【drop済2026-09-01】掲載境界: ヤングキングベスト廉価版コミック=高港基資のホラー傑作選(再録集)。drop候補・ユーザ裁定待ち
lilliput	リリパット	2026-09-01	9417	【解決2026-09-01: 誤canonical削除+アンソロ7クラスタをnon-manga-drop登録→頁は松崎司の1巻のみに。1巻頁なので規約によりキャッチ/詳細は書かない】データ異常: 1987-88の9巻(出版社不明・ISBN無)と2014年竹書房Qpaコレクション(BL・向坂志郎/黒木晴人)の1巻が同一頁に同居。別作品混入の疑い=要検死
esudii-musha-gundam-fuuunroku	SD武者ガンダム風雲録	2026-09-01	9417	材料なし: Wikipedia記事なし・楽天captionは新装版の宣伝文のみで物語情報ゼロ。捏造せず空のまま
hal-s-moto	HAL'S MOTO	2026-09-01	9419	【drop済2026-09-01】掲載境界: Motor Magazine Mookの総集編(東本昌平のイラスト・漫画を車両メーカー別にまとめたベスト版)。再編集本=drop候補・ユーザ裁定待ち
honoo-no-tsuki	炎の月	2026-09-01	9419	材料不足: 河惣益巳のジェニィシリーズ第11作だが、1〜2巻のpremiseを示す一次情報が取れず(レビューは終盤ネタバレのみ)。捏造せず空のまま
now	ナウ	2026-09-01	9419	材料なし: 韓国manhwa日本語版(丁昌烈/朴晟佑)。楽天caption無し・日本語の作品紹介が見つからない
strike-zone	ストライクZONE!	2026-09-01	9419	材料不足: NPB・プロ野球12球団協力のVジャンプ連載という書誌情報のみで、物語のpremiseが取れない
jump-sq-comic-selection	ジャンプSQ.Comic Selection	2026-09-01	9421	【drop済2026-09-01】掲載境界: 著者=集英社の作品セレクション(アンソロジー)。単一作品でない=drop候補・ユーザ裁定待ち
majikyuu-4-koma-steins-gate	マジキュー4コマ STEINS;GATE	2026-09-01	9421	【drop済2026-09-01】掲載境界: 著者=エンターブレインの4コマアンソロジー(複数作家)。drop候補・ユーザ裁定待ち
mayoiya-no-miseban-tokiwa	マヨイ屋の店番トキワ	2026-09-01	9421	材料不足: 最終巻の紹介文しか取れず1〜2巻のpremiseが不明
oz	Oz	2026-09-01	9421	材料不足: 原作=岩井恭平/漫画=刻夜セイゴという書誌情報のみで物語情報が取れない
mach-sos	マッハSOS	2026-09-01	9424	材料不足: レビュー断片のみで物語のpremiseが取れない(桜多吾作・100てんランドコミックス)
oshitai-moushiagemasu	お慕い申し上げます	2026-09-01	9424	材料不足: 「お寺系ラブストーリー」という分類と最終巻のネタバレしか取れず、1〜2巻のpremiseが不明
giant-killing-extra-giant-killing-hatsu-sakkaa-entaateinmento-magazine	GIANT KILLING extra	2026-09-01	9424	【drop済2026-09-01】掲載境界: 著者=講談社の講談社mook(サッカー雑誌ムック)。drop候補・ユーザ裁定待ち
tales-of-the-abyss-rei2006	TALES OF THE ABYSS	2026-09-01	9423	【解決2026-09-01: 残骸ファイル削除・索引1件化】データ異常: tales-of-the-abyss-rei と公開slugが完全同一(両方 tales-of-the-abyss-rei)で内容も同じ8巻。二重頁=dedup対象。キャッチは公開側に付与済み
epic-of-golgo-13	Epic of ゴルゴ13	2026-09-01	9425	【drop済2026-09-01】掲載境界: SPコミックス SP pocket wide のゴルゴ13セレクション(既刊再編集)。泣ける!ゴルゴ13と同型=drop候補
tenmatenpei	天馬天平	2026-09-01	9426	材料不足: 堀江卓の旧作(虫コミックス復刻)で作品紹介が見つからない
junshinmirakuru100paasento	純真ミラクル100%	2026-09-01	9426	材料不足: 掲載誌情報のみ。アイドル物らしいが1巻のpremiseを示す一次情報が取れない
bakumatsu-medaka-gumi	幕末めだか組	2026-09-01	9426	材料不足: 巻レビューの断片のみで設定・主人公が確定できない
ishin-no-kagura	維新のKAGURA	2026-09-01	9426	材料不足: 作画橋本尭昌/原作あかほりさとるという書誌のみ
shiritsu-shouei-gakuen-otoko-koutoubu-kurashina-sensei-no-junan	私立翔瑛学園男子高等部倉科先生の受難	2026-09-01	9426	材料不足: BL作品で書誌情報のみ、内容紹介が取れない
koko-ga-ai-no-mannaka	ここが愛のまん中	2026-09-01	9426	材料不足: レビュー断片(買収・森ガール)のみで主筋が確定できない
hajirau-hada	恥じらう肌	2026-09-01	9427	材料不足: TL/レディコミで書誌情報のみ、内容紹介が取れない
kanashimi-no-mukuro	悲しみの骸	2026-09-01	9427	材料不足: 庄司陽子作品だが作品紹介が見つからない
otokuyou-mainichi-kaa-san	お徳用毎日かあさん	2026-09-01	9427	【drop済2026-09-01】掲載境界: 西原理恵子『毎日かあさん』の徳用(合本/廉価再編集)版。合本は非掲載が基本=drop候補・ユーザ裁定待ち
watashi-no-kawahara-izumi	ワタシの川原泉	2026-09-01	9428	【drop済2026-09-01】掲載境界: 読者投票で収録作を決めた傑作集(既刊の再編集)。drop候補・ユーザ裁定待ち
orinposu-no-togabito	オリンポスの咎人	2026-09-01	9428	掲載境界: ハーレクインコミックスの複数作家アンソロジー(アリスン/岩崎陽子/冬木るりか/藍まりと)。裁定待ち
asami-mitsuhiko-mystery-ando-ryoshuu-sasupensu	浅見光彦ミステリー&旅愁サスペンス	2026-09-01	9428	【drop済2026-09-01】掲載境界: Akita top comics wide のコンビニ廉価アンソロジー(浅見光彦ものの再録)。裁定待ち
rumble-fist	ランブル・フィスト	2026-09-01	9428	材料不足: 作品紹介が取れない(野部優美・少年チャンピオン)
mahou-shoujo-taruto-magica	魔法少女たると☆マギカ	2026-09-01	9428	材料不足: まどマギ系スピンオフだが独自premiseの一次情報が取れない
duel-masters-haouden-gachi	デュエル・マスターズ覇王伝ガチ!!	2026-09-01	9428	材料不足: 書誌情報(藤崎聖人・コロコロ)のみで物語情報が取れない
kinnikuman-jump	キン肉マンジャンプ	2026-09-01	9429	【drop済2026-09-01】掲載境界: 総選挙TOP10の名シーン厳選+旧作リメイク+対談企画のムック(総集編)。drop候補・ユーザ裁定待ち
comic-mei-tantei-asami-mitsuhiko	コミック名探偵浅見光彦	2026-09-01	9429	【drop済2026-09-01】掲載境界: ぶんか社の浅見光彦コミカライズ・アンソロジー(既にdrop済のコミック浅見光彦本格旅情ミステリーと同系)。裁定待ち
comic-akagawa-jirou-mystery	コミック赤川次郎ミステリー	2026-09-01	9429	【drop済2026-09-01】掲載境界: 複数作家(大橋薫/油豆/夏木美香/中原まい)による赤川次郎作品のコミカライズ・アンソロジー。裁定待ち
mihara-drops	みはらドロップス	2026-09-01	9429	材料不足: 作品紹介が見つからない(中石田真輔・Keibunsha books)
mamono-no-hanayome	魔物の花嫁	2026-09-01	9429	材料不足: 2026年刊行開始で情報が乏しく、ジャンルも未設定
ryojou-mystery-special-2020	旅情ミステリースペシャル	2026-09-01	9414	【drop済2026-09-01】(SRC stem表記の再掲) 掲載境界: 浅見光彦+十津川のコミカライズ読切集【廉価版】=drop候補
oshitaimoushiagemasu	お慕い申し上げます	2026-09-01	9424	(SRC stem表記の再掲) 材料不足: お寺系ラブストーリーという分類のみで1〜2巻のpremiseが不明
makai-tenshou	魔界転生	2026-09-01	9424	★キャッチはseed(catch-ja.json)に投入済みだが頁に出ない: promote --only が "wrote 0" でこの頁を再生成しない(種2に該当seriesが無い源頁=orphan-source型)。頁再生成の経路が直れば自動で反映される
hontoni-atta-kowai-hanashi	ほんとにあった怖い話	2026-09-01	9433	未処理: 山本まゆり(単独)名義だが同名の実話怪談誌のコミックスで、アンソロジー性の有無を要確認
vf	VF	2026-09-01	9433	材料不足: 林崎文博(Jets comics 全27巻)の作品紹介が取れない
pachipuro-tantei-nana	パチプロ探偵ナナ	2026-09-01	9433	材料不足: 書誌情報のみで物語のpremiseが取れない
zettai-reido	絶対麗奴	2026-09-01	9433	掲載境界: 著者8名(華炎/明治カナ子/みさと美夕稀/とりマイア/紅迫青実/山田幸子/堀井甚五郎/白石明日香)=アンソロジー疑い。要確認
keishiki-kekkon	形式結婚	2026-09-01	9433	材料不足: ブログ評(DINKS夫婦もの)しか無く、一次情報が取れない
campus-croquis	キャンパスクロッキー	2026-09-01	9433	材料不足: 八潮路つとむ(ヤングジャンプ 全24巻)の作品紹介が取れない
ningenkyouki	人間兇器	2026-09-01	9433	材料不足: 中野喜雄(ゴラク 全23巻)の作品紹介が取れない
jump-housoukyoku	ジャンプ放送局	2026-09-01	9433	掲載境界: 週刊少年ジャンプの読者投稿コーナー(さくまあきら構成/土居孝幸イラスト)の単行本化。漫画作品ではないため要裁定
ribbon-shinjin-mangaka-debyuusakushuu	りぼん新人まんが家デビュー作集	2026-09-01	9436	掲載境界: 新人11名(福米ともみ/浅月舞/芳原のぞみ/北沢薫/瀬戸優菜/掛川なると/朝比奈ゆうや/香村陽子/井上多美子/沢野ともこ/槙ようこ)のデビュー作を集めた集英社のアンソロジー。楽天authorは池野恋(監修格)。要裁定
doragonkuesuto-4-koma-manga-gekijou	ドラゴンクエスト4コママンガ劇場	2026-09-01	9436	掲載境界: 楽天subTitle=「番外編 4コマクラブ傑作集」。本番著者は「ゲームドラゴンクエストシリーズ」=多数作家の4コマ投稿アンソロジー(エニックス)。単一著者作品ではない。要裁定
pumpkin	パンプキン	2026-09-01	9436	掲載境界: 著者11名(SABE/Yumi/わたなべわたる/亜麻木硅/池田秀一/空根ちゃらか/みづの剣士/北御牧慶/東・京都/MON-MON/あらいずみるい)、白夜書房1986-88の月刊アンソロジー疑い。楽天/NDLに書誌なし。要裁定
crescent-2	CRESCENT	2026-09-01	9436	掲載境界: 東京三世社マイコミックスパートナー、1988-04〜1992-11に43号まで(欠番だらけ・ほぼ月刊ペース)。楽天/NDL live照会とも著者欄が空=雑誌・ムック系アンソロジー濃厚。MADBの単独著者「葉月しのぶ」は本人の作品リストにもCRESCENTが無い。要裁定
tokusen-kobo-chan	特選コボちゃん	2026-09-01	9436	掲載境界: 芳文社まんがタイムmy pal comicsの再録選集(読売新聞連載コボちゃんの抜粋)。同型が本番に6頁(特選/特盛/満点/進め/熱中/元祖)=クラス裁定案件。本編頁 kobo-chan は別に存在。要裁定
doughnuts-books	Doughnuts books	2026-09-01	9439	掲載境界: 双葉社アクションコミックス「ドーナツブックス いしいひさいち選集」= 既刊4コマの選集。同型の doonatsubukkusuishiihisaichisenshuu(15巻)と対。要裁定
doonatsubukkusuishiihisaichisenshuu	DOUGHNUTS BOOKS ドーナツブックス いしいひさいち選集	2026-09-01	9440	掲載境界: 題に「選集」。双葉社アクションコミックスの既刊4コマ選集。doughnuts-books と同型。要裁定
b-boy	b-Boy	2026-09-01	9440	掲載境界+データ破損: vol1=9784088542997(集英社セブンティーンコミックス1986)と vol8-23=978488271xxxx(青磁ビブロス・1993-95に隔月刊)が同一頁に同居。後者はBL誌「b-Boy」のアンソロジー濃厚で、著者もDB=なると真樹/桃さくら、楽天=倉持知子と割れる。無関係2件の混成。要裁定
star-ocean-sekando-story-4koma-4-ga-gekijou	スターオーシャン セカンドストーリー 4コママンガ劇場	2026-09-01	9440	掲載境界: 本番著者=(unknown)、楽天author=エニックス出版局。ゲーム4コママンガ劇場シリーズ=多数作家の投稿アンソロジー。要裁定
cream-lemon	くりいむレモン	2026-09-01	9441	掲載境界: 本番imprint「くりいむレモン・フイルムコミックス」、著者=フェアリーダスト(制作会社)。OVAのフィルムコミック=映像作品。CLAUDE.mdの掲載scope外。要裁定
image	イマージュ	2026-09-01	9441	掲載境界: 白夜書房『イマージュ』(1991年12月創刊、キャッチコピー「BOY'S LOVE COMIC」)のコミックス版「コミック・イマージュ」。誌名=多数作家のBLアンソロジー。本番著者「すたんだっぷ」は編集/レーベル名義の疑い。要裁定
hop-suteppushou-selection	ホップ☆ステップ賞SELECTION	2026-09-01	9441	掲載境界: 楽天author=ジャンプ編集部。週刊少年ジャンプの新人賞(ホップ☆ステップ賞)入選作を集めた選集。単一作品ではない。要裁定
choco-banana	チョコバナナ	2026-09-01	9441	掲載境界: 楽天subTitle=「スーパーイラスト投稿本」、著者=サマープロジェクト/さくまあきら。読者投稿本で漫画作品ではない。要裁定
honoo-mau	炎舞う	2026-09-01	9441	材料不足: 細倉ゆたか(ミッシィコミックスDX 全14巻)。読者レビュー(耽美風ギャグ/狐冰鬼と五官王/マッチョ鬼)しか見つからず、1〜2巻のpremiseが取れない
futarigurashi	ふたり暮らし	2026-09-01	9443	材料不足: 柿本ケンジロウ(週刊ヤングジャンプ 1993-・全14巻・1998年アニメ化)。「ラブコメディ」というジャンル記述しか取れず、1〜2巻のpremiseが確認できない
the-rapeman	THE レイプマン	2026-09-01	9443	要ユーザ裁定: みやわき心太郎/愛崎けい子(SPコミックス 全13巻)。実在の刊行物だが題材の性質上、キャッチ/あらすじの生成を保留。掲載可否含めて裁定を仰ぐ
mirai-kenji-kun	未来ケンジくん	2026-09-01	9443	材料不足: みなもと太郎(聖教新聞社 聖教コミックス 全12巻 1980-1992)。書誌情報のみで作品内容の記述が見つからない
sangokushi-1992	三国志	2026-09-02	9445	掲載境界: 本番著者=勝間田具治(アニメ監督)、楽天author=笠原和夫(脚本家)、imprint=カラーコミックス。1992-94年の東映アニメ映画『三国志』のフィルムコミック濃厚。要裁定
taiyaku-sazae-san	対訳サザエさん	2026-09-02	9445	掲載境界: 講談社バイリンガル・コミックス=日英対訳版。CLAUDE.mdのdrop imprint pattern 'bilingual'/翻訳版に該当。本編『サザエさん』は別頁。要裁定
jc-com	JC.COM	2026-09-02	9445	掲載境界+著者誤り: 集英社の隔月刊コミック・アンソロジー『JC.COM』。村田蓮爾は表紙イラスト/ピンナップ担当であって作者ではない(本人公式サイトで確認)。要裁定
kibaken	牙拳	2026-09-02	9445	材料不足: かわぐちかいじ/原作=東史朗、週刊漫画TIMES 1976-1978連載。書誌(芳文社5巻→日本文華社で全12巻完全版)しか取れず作品内容の記述が見つからない
golgo-13-series	ゴルゴ13シリーズ	2026-09-02	9445	データ破損: 巻番号52〜104台の巻がISBNなしで並ぶ、本編 golgo-13 からの分裂頁。作品ではなく巻の断片。統合 or drop の裁定が要る
bikkuriman-omoshiro-land	ビックリマンおもしろランド	2026-09-02	9445	掲載境界: 秋田書店MOVIEコミックス 1988-89 全15巻、著者「企画者104」はWikipediaで(編集)と明記。多数作家のアンソロジー/ムック濃厚。要裁定
out	アウト	2026-09-02	9446	材料不足: 麻生歩(富士見コミックス 全11巻 1988-1992)。書誌のみで作品内容の記述が見つからない
shinigami-alice	死神アリス	2026-09-02	9446	材料不足: 小林ぽんず(ピチコミックスミステリー 全11巻)。感想ブログはあるがpremiseの記述が取れない
akuma-to-odore	悪魔と踊れ	2026-09-02	9446	材料不足: 鳥羽笙子/原作 富樫ゆいか(あすかコミックス 全11巻・ASUKAノベルス原作)。書誌のみで内容不明
doragonkuesuto-1p-comic-gekijou	ドラゴンクエスト1Pコミック劇場	2026-09-02	9447	掲載境界: 本番著者=「ゲームドラゴンクエストシリーズ」、楽天authorも空。ギャグ王コミックスの投稿アンソロジー。doragonkuesuto-4-koma-manga-gekijou と同型。要裁定
hijiri-yuki-sakuhinshuu	聖悠紀作品集	2026-09-02	9447	掲載境界+材料不足: ビブロスコミック文庫の「作品集」全11巻。収録内容が特定できず、既刊の選集か新編かの判別がつかない。要確認
mobile-suit-gundam-dai-08-ms-shoutai	機動戦士ガンダム第08MS小隊	2026-09-02	9447	掲載境界: 本番著者「アクアロード」、★楽天author=サンライズ(アニメ制作会社)、imprint=NEO COMICS。OVAのコミカライズ(keep)かフィルムコミック(drop)か判別つかず。要確認
women	Women	2026-09-02	9447	材料不足: 村生ミオ(ヤングジャンプコミックスBJ 全11巻)。集英社の紹介文が11巻(最終巻)のものしか取れず、1〜2巻のpremiseが確認できない
gomen-asobase	ごめんあそばせ	2026-09-02	9447	材料不足: 丹沢恵(まんがタイムコミックス)。まんがタイム系4コマで刊行情報は取れるが、作品内容の記述が見つからない
sanada-ippei-inochigake	真田一平命がけ!!	2026-09-02	9449	材料不足: 高田まさお/ヒロナカヤスシ(講談社コミックス月マ 全10巻)。作品内容の記述が見つからない
lemon-kids	レモンキッズ	2026-09-02	9449	材料不足: AKIRA(全10巻 1989-1991)。楽天authorも空で、書誌も内容も取れない
ume-momo-sakura	うめモモさくら	2026-09-02	9449	材料不足: 鈴木祐美子(ヤングジャンプコミックス 全10巻)
tokyo-monogatari	東京物語	2026-09-02	9449	材料不足: いしかわじゅん(プレイボーイコミックス 全10巻 1989-1993)。同題のふくやまけいこ作品が検索を占め、最終巻の紹介文しか取れない
doki-doki	DOKI DOKI	2026-09-02	9449	材料不足: 高瀬由香(フラワーコミックスちゃお 全10巻)
ten-ten-ten	「…点点点」	2026-09-02	9449	材料不足: 九月乃梨子(ぶ〜けコミックスワイド版 全10巻・subTitle「まぬけんぼう庭子の記録」)
otokogui	おとこ喰い	2026-09-02	9449	材料不足: 向後つぐお/伊東恒久(芳文社コミックスDX版 全10巻)。姉妹作『女喰い』は付与済みだが本作の内容記述は取れない
sanobabitchi	さのばびっち	2026-09-02	9449	材料不足: みたにひつじ(ワイドKC 全10巻)
ms-saga	MS SAGA	2026-09-02	9450	掲載境界: バンダイ B-CLUB のガンダム系ムック/アンソロジー。近藤和久『機動戦士ガンダム0079』、松浦まさふみ『ムーンクライシス』、ことぶきつかさ、やすだひろし等の複数連載を収録する媒体で、単一作品ではない。要裁定
ginkouin-shouhei-ganbaru	銀行員祥平がんばる!	2026-09-02	9450	材料不足: 河合単(ミスターマガジンKC 全10巻)。刊行情報のみで、まとめサイトも「あらすじ: 不明」
suikoden-sentaro-1980	水滸伝	2026-09-02	9450	材料不足: 沼田清/久保田千太郎(中国歴史コミック 全10巻)。★本番の著者「真崎守」は楽天authorと食い違う(楽天=久保田千太郎)。要確認
otoko-nihonkai	男!日本海	2026-09-02	9450	材料不足: 玄太郎(Nichibun comics 全10巻)
seimaden-1984	聖魔伝	2026-09-02	9450	材料不足: 石川賢/辻真先(1976-79 朝日ソノラマ「マンガ少年」・全10巻)。刊行情報のみで内容記述が取れない
shimatsuya-file	始末屋事件簿	2026-09-02	9450	材料不足: 北代聡/原作 樫田正剛(ジャンプコミックスデラックス 全10巻)
aoi-tori-shoukougun	青い鳥症候群	2026-09-02	9450	材料不足: 河野やす子(プチセブンコミックス 全10巻)
tar-eno-michi	王者への道	2026-09-02	9450	材料不足: 本宮ひろ志プロダクション/前川恵三(マンサンコミックス 全10巻)
retsumaden-e-zone	裂魔伝E.zone	2026-09-02	9450	材料不足: 藤貴紀子(あすかコミックス 全10巻)
the-benten	ザ・ベンテン	2026-09-02	9450	材料不足: 長浜幸子(office YOU COMICS 全10巻)
touch-de-ikuze-takeda-kun	タッチでイクぜ!竹田クン	2026-09-02	9450	材料不足: 若林健次(スーパー・プレイボーイ・コミックス 全10巻)
nick-shadow-no-mayonaka-no-toshokan	ニック・シャドウの真夜中の図書館	2026-09-02	9451	掲載境界: 本番著者16名(沖田龍児/松久由宇/比古地朔弥/くろいわこーじ 他)、楽天author=ニック・シャドウ(原作者名)。多数作家によるコミカライズ・アンソロジー。要裁定
page-1	Page 1	2026-09-02	9451	掲載境界: 著者11名(Donkey/Tetsu/水原マサキ/河本ひろし/真鍋譲治/このどんと/あらいずみるい 他)。楽天authorも空。同人系アンソロジー濃厚。要裁定
sekainorekishi	世界の歴史	2026-09-02	9451	掲載境界+著者要確認: 中公コミックス 全9巻。本番著者「石原しゅん」に対し★楽天author=手塚治虫。複数作家の学習まんがシリーズの疑い。要確認
animal-x-genshi-sairai	ANIMAL X 原始再来	2026-09-02	9451	材料不足: 杉本亜未(Chara comics 全10巻)。紹介文が最終10巻のものしか取れず、1〜2巻のpremiseが確認できない
puchimon	ぷちモン	2026-09-02	9451	材料不足: 七瀬葵(ヤングジャンプ・コミックス・ウルトラ 全10巻・subTitle「Petit Monster」)
baaverian-quartet	バーヴェリアン四重奏	2026-09-02	9451	材料不足: 羽音こうき(Patsy comics 全10巻)
go-go-tamatama-tamagotchi	GO GO!たまたまたまごっち	2026-09-02	9451	材料不足: ヤスコーン(てんとう虫コミックススペシャル 全10巻)
tasogare-no-rakuen	黄昏の楽園	2026-09-02	9451	材料不足: 伊庭竹緒(プリンセスコミックス 全10巻)
nemuri-kyoushirou	眠狂四郎	2026-09-02	9451	材料不足: 柳川喜弘(Bunch comics 全10巻)。柴田錬三郎原作の劇画化と思われるが本作固有の記述が取れない
honoo-no-romance	炎のロマンス	2026-09-02	9451	材料不足: 上原きみ子(フラワーコミックス 全9巻 1977-78)
gekitotsu-rajikon-rokku	激突!ラジコンロック	2026-09-02	9451	材料不足: もろが卓(講談社コミックス月マ 全9巻)。楽天authorも空
shishitachi-no-kouya	獅子たちの荒野	2026-09-02	9451	材料不足: 由起賢二(ゴラク・コミックス 全9巻)
love-z	ラブZ	2026-09-02	9451	材料不足: やまさき拓味(少年サンデーコミックス 全9巻)。楽天authorも空
hakkyuu-no-uta	白球の詩	2026-09-02	9451	材料不足: 水島新司(一球入魂コミックス 全9巻)。選手名鑑サイトはあるが作品のpremiseが取れない
richou-suikoden	李朝水滸伝	2026-09-02	9451	材料不足: 房学基/金容権(全9巻・subTitle「革命児・林巨正の生涯」)
seishunsanmyaku	青春山脈	2026-09-02	9451	材料不足: かざま鋭二(少年マガジンコミックス 全9巻)。楽天authorも空
piihyoro-ikka	ぴーひょろ一家	2026-09-02	9451	材料不足: 姫木薫理(プリンセスコミックス 全9巻)
non-stop-kyouhei	NON STOP!恭兵	2026-09-02	9451	材料不足: 橋本きんいち(少年マガジンコミックス 全9巻)
dangozaka-story	団子坂ストーリー	2026-09-02	9451	材料不足: 一丸(アクション・コミックス 全9巻)
marino-syndrome	まりのシンドローム	2026-09-02	9451	材料不足: 宮代良行(ジャンプ・コミックスデラックス 全9巻)
thrill-kun	スリルくん	2026-09-02	9451	材料不足: 板井れんたろう(ペップおもしろまんがランド 全9巻)。★楽天author「坂井れんたろう」と表記ゆれ
funky-monkey-teacher	ファンキー・モンキーティーチャー	2026-09-02	9451	材料不足: 守山鶴(ヤンマガKCスペシャル 全9巻)
